,name,old_product_price,new_product_price_after,new_product_price_before,Kích thước màn hình,Công nghệ màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Quay video trước,Chipset,Loại CPU,GPU,Dung lượng RAM,Bộ nhớ trong,Khe cắm thẻ nhớ,Pin,Công nghệ sạc,Cổng sạc,Thẻ SIM,Hệ điều hành,Hồng ngoại,Jack tai nghe 3.5,Công nghệ NFC,Hỗ trợ mạng,Wi-Fi,Bluetooth,GPS,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,"Chỉ số kháng nước, bụi",Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Thời điểm ra mắt,Độ phân giải màn hình,Công nghệ - Tiện ích,Loại màn hình,Hệ thống làm mát,Cảm biến,Tương thích
10,realme 11 Pro (8GB - 256GB),"8.690.000đ
Khi thu cũ lên đời",10.690.000đ,11.990.000đ,6.7 inches,AMOLED,"1.07 tỷ màu, HDR10+, tần số quét 120Hz, 100% DCI-P3",120Hz,Đục lỗ (Nốt ruồi),"Camera góc rộng: 100 MP, f/1.75, 26mm, PDAF, OIS
Camera chiều sâu: 2 MP, f/2.4, 22mm","4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","LED flash, HDR, panorama","Camera góc rộng: 16 MP, f/2.5, 25mm","1080p@30fps, 720p@30fps",Mediatek Dimensity 7050 5G,"TSMC 6nm Process, Octa-core, Up to 2.6Ghz",Mali-G68,8 GB,256 GB,Không,5.000 mAh,Sạc nhanh 67W,USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Không,Có,5G,802.11 a/b/g/n/ac/6,"v5.2, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS","Màu kem/xanh: 161.7 x 73.9 x 8.7 mm
Màu đen: 161.7 x 73.9 x 8.2mm","Màu kem/xanh: 191g
Màu đen: 185g",,Nhựa,,,"Loa kép
Loa âm thanh nổi
Dolby Atmos
Chứng nhận âm thanh Hi-Res",Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt",05/2023,1080 x 2412 pixels,,,,,
11,realme 11 8GB 128GB,"4.990.000đ
Khi thu cũ lên đời",6.990.000đ,7.390.000đ,6.4 inches,Super AMOLED,"90Hz, dộ sáng tối đa 1000nit, mặt kính Corning Gorilla Glass 5,16.7 triệu màu",90Hz,Đục lỗ (Nốt ruồi),Chính Prolight 108MP + Chân dung 2MP,1080p@30fps,"Chế độ 108MP, Chụp đêm, Toàn cảnh, Chuyên gia, HDR, Nhận dạng cảnh AI, Làm đẹp AI, Bộ lọc màu, Tùy chỉnh hiệu ứng Bokeh, Chụp đường phố, Quét lấy dữ liệu, Mô hình, Chế độ ảnh",16MP,1080p@30fps,Chip Helio G99,"Lõi tám nhân, 2*A76 2.2 GHz，6*A55 2.0 GHz",ARM G57 MC2,8GB + Mở rộng 8GB,128 GB,Hỗ trợ tối đa 1 TB,5.000 mAh,Sạc nhanh SuperVOOC 67W,USB Type-C,2 SIM (Nano-SIM),realme UI 4.0 Trên nền tảng Android 13,Không,Có,,4G,,Bluetooth 5.3,"GPS, GALILEO, GLONASS, BDS, QZSS",159.9mm x 73.3mm x 7.95mm,178g,Kính,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế",Bảo mật vân tay,07/2023,1080 x 2400 pixels (FullHD+),,,,,
12,Realme Q5,,,,6.43 inches,OLED,,,,64MP + 8MP + 2MP,,,,,MediaTek Dimensity 1200,,,,,,4.400 mAh,sạc nhanh 65 W,,,Android 11,,,,,,,,,,,,,,,,,,,,,,,,
13,TCL 30SE Cruze Pro 4G 128GB,,,,6.52 inches,IPS LCD,"PPI: 269, Độ sáng 450 Nits, NTSC: 100% (Loại)",,,"Camera chính: 50MP, f/1.85
Camera độ sâu: 2MP, f/2.4
Máy ảnh macro: 2MP",1080p@30fps,"Chế độ chân dung, Macro, Chế độ chuyên nghiệp, Chế độ pixel cao, Chế độ toàn cảnh, nhận diện cảnh AI, Chụp ổn định, HDR, Bộ lọc, Chụp bằng cử chỉ, Dừng chuyển động, Dấu vết ánh sáng, Ống kính Google",8MP,1080p@30fps,Helio G25,4 x Cortex-A53 @ 2.0GHz + 4 x Cortex-A53 @ 1.5GHz,IMG GE8320 650MHz,4 GB,128 GB,MicroSD,5000mAh,Hỗ trợ sạc 15W,USB Type-C,2 SIM (Nano-SIM),Android™ 12,,Có,,4G,"802.11b / g / n, Wi-Fi direct, Wi-Fi hotspot, VoLTE ***, VoWiFi",v5.0,"BDS / GPS / Glonass / Galileo, với A-GPS",165.2x75.5x8.9mm,190g,,,,,,Cảm biến vân tay mặt lưng,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Cảm biến áp kế",,,720 x 1600 pixel,,,,,
14,iPhone 15 Plus 512GB | Chính hãng VN/A,"31.490.000đ
Khi thu cũ lên đời",32.990.000đ,34.990.000đ,6.7 inches,Super Retina XDR OLED,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mật độ điểm ảnh 460 ppi",60Hz,Dynamic Island,"Camera chính: 48MP, 26 mm, ƒ/1.6,
Camerra góc rộng: 12MP, 13 mm, ƒ/2.4
Camera Tele 2x: 12MP, 52 mm, ƒ/1.6","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps
HD 720p@30 fps","Độ thu phóng kỹ thuật số lên đến 10x
Flash True Tone
Photonic Engine
HDR thông minh thế hệ 5
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Phong Cách Nhiếp Ảnh
Tự động chống rung hình ảnh","12MP, ƒ/1.9","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps",Apple A16 Bionic,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,GPU 5 lõi,6 GB,512 GB,Không,4383 mAh,"Sạc nhanh
Sạc không dây MagSafe lên đến 15W
Sạc không dây Qi lên đến 7,5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Có,Không,Có,5G,Wi‑Fi 6 (802.11ax),v5.3,"GPS, GLONASS, Galileo, QZSS, and BeiDou","160,9 x 77,8 x 7,80 mm",201 g,Kính,Nhôm,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),"SOS Khẩn Cấp
Phát Hiện Va Chạm","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby Atmos",Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",,2796 x 1290-pixel,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,,,
15,Vivo S17 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Redmi 11A,,,,6.53 inches,IPS LCD,,,,"Camera chính góc rộng: 48 MP, f/1.8.
Cảm biến độ sâu: 2MP, f/2.4.
Camera góc siêu rộng: 8 MP, f/2.2
Camera macro: 2 MP, f/2.4.",,,13 MP,,Helio G35,,,4 GB,64 GB,MicroSD,6.000 mAh,Sạc nhanh 18 W,,,,,,,,,,,,,,,,,,Cảm biến vân tay cạnh bên,,,,1080 x 2340 pixels (FullHD+),,,,,
17,Xiaomi Redmi Note 13 Pro,,,,6.67 inches,OLED,"68 tỷ màu, tần số quét 120Hz, Dolby Vision, 1800 nits
Corning Gorilla Glass Victus",,,"Camera góc rộng: 200 MP, f/1.7, 1/1.4"", 0.56µm, multi-directional PDAF, OIS
Camera góc siêu rộng: 8 MP, f/2.2, 120˚, 1/4"", 1.12µm
Camera macro: 2 MP, f/2.4","4K@30fps
1080p@30/60/120fps","Đèn flash hai tông màu LED kép, HDR, toàn cảnh",16 MP,1080p@30/60fps,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),4x2.40 GHz & 4x1.95 GHz,Adreno 710,8 GB,128 GB,Không,5100 mAh,Sạc 67W,USB Type-C,2 SIM (Nano-SIM),Android 13,Có,Có,Có,5G,802.11 a/b/g/n/ac,"v5.2, A2DP, LE","GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",161.2 x 74.3 x 8 mm,187 g,,,,,Loa âm thanh nổi,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến trọng lực",,09/2023,1220 x 2712 pixels,,,,,
18,Samsung Galaxy A04s (4GB - 64GB),,,,6.5 inches,PLS LCD,"Tần số quét 90 Hz, 400 nits, Kính cường lực Corning Gorilla Glass 3",,,"Camera chính: 50MP, f/1.8
·Camera Macro: 2MP, f/2.8
Camera góc sâu: 2MP, f/2.4","FullHD 1080p@30fps, HD 720p@30fps","Bộ lọc màu, Chuyên nghiệp (Pro), HDR, Làm đẹp, Siêu cận (Macro), Siêu độ phân giải, Toàn cảnh (Panorama), Tự động lấy nét (AF), Xóa phông, Zoom kỹ thuật số","5 MP, f/2.2",,Exynos 850 8 nhân,2.0 GHz,Mali-G52,4 GB,64 GB,MicroSD hỗ trợ tối đa 1 TB,"5,000 mAh",Sạc nhanh 15W,USB Type-C,2 SIM (Nano-SIM),Android 12 One UI,,Có,Không,4G,802.11 a / b / g / n / ac (2.4G + 5GHz),v5.0,"Hỗ trợ A-GPS, GLONASS, GALILEO, BDS","164,7 x 76,7 x 9,1mm",195g,Nhựa,Nhựa,,"Chặn cuộc gọi
Chặn tin nhắn
Chế độ trẻ em (Samsung Kids)
Ứng dụng kép (Dual Messenger)",Âm thanh Dolby Atmos,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Cảm biến áp kế",,09/2022,720 x 1600 pixel,,,,,
19,Vivo Y85,,,,6.22 inches,IPS LCD,Kính cường lực Corning Gorilla Glass 3,,,"13 MP
2 MP",1080p@30fps,"Tự động lấy nét (AF)
Nhận diện khuôn mặt
Làm đẹp
HDR
Quay video Full HD
Góc rộng (Wide)",8 MP,,MediaTek MT6762 8 nhân (Helio P22),4 nhân 2.0 GHz & 4 nhân 1.5 GHz,,4 GB,32 GB,Micro USB,3260 mAh,,Micro-USB,2 SIM (Nano-SIM),,,Có,,4G,802.11 a/b/g/n,v4.2,"GPS, GLONASS",155.21 × 75.24 × 7.7mm,152 g,Nhựa,Nhựa,,,,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Cảm biến áp kế",,05/2018,720 x 1520 pixels,,,,,
20,iPhone 15 Pro Max 1TB | Chính hãng VN/A,"40.490.000đ
Khi thu cũ lên đời",44.490.000đ,46.990.000đ,6.7 inches,Super Retina XDR OLED,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",120Hz,Dynamic Island,"Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 5x: 12 MP, 120 mm, ƒ/2.8
Camera Tele 2x: 12 MP, 48 mm, ƒ/1.78","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps
HD 720p@30 fps","Flash True Tone Thích Ứng
Photonic Engine
Deep Fusion
HDR thông minh thế hệ 5
Ảnh chân dung thế hệ mới với Focus và Depth Control
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Chế độ Ban Đêm","12MP, ƒ/1.9","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps",A17 Pro,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,GPU 6 nhân mới,8 GB,1 TB,Không,4422 mAh,"Sạc nhanh
Sạc không dây 15W
Sạc không dây Qi 7.5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Có,Không,Có,5G,Wi‑Fi 6E (802.11ax),5.3,"GPS tần số kép chính xác (GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC)","159,9 x 76,7 x 8,25 mm",221 g,Kính,Titanium,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),"SOS Khẩn Cấp
Phát Hiện Va Chạm","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus và Dolby Atmos",Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",,2796 x 1290-pixel,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,,,
21,iPhone 15 Pro Max 512GB | Chính hãng VN/A,"37.690.000đ
Khi thu cũ lên đời",39.690.000đ,40.990.000đ,6.7 inches,Super Retina XDR OLED,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",120Hz,Dynamic Island,"Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 5x: 12 MP, 120 mm, ƒ/2.8
Camera Tele 2x: 12 MP, 48 mm, ƒ/1.78","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps
HD 720p@30 fps","Flash True Tone Thích Ứng
Photonic Engine
Deep Fusion
HDR thông minh thế hệ 5
Ảnh chân dung thế hệ mới với Focus và Depth Control
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Chế độ Ban Đêm","12MP, ƒ/1.9","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps",A17 Pro,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,GPU 6 nhân mới,8 GB,512 GB,Không,4422 mAh,"Sạc nhanh
Sạc không dây 15W
Sạc không dây Qi 7.5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Có,Không,Có,5G,Wi‑Fi 6E (802.11ax),5.3,"GPS tần số kép chính xác (GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC)","159,9 x 76,7 x 8,25 mm",221 g,Kính,Titanium,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),"SOS Khẩn Cấp
Phát Hiện Va Chạm","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus và Dolby Atmos",Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",9/2023,2796 x 1290-pixel,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,,,
