Bluetooth,Bộ nhớ trong,Camera sau,Camera trước,Chipset,Chất liệu,Cảm ứng,Dung lượng Pin,GPS,Ghi âm,Hệ điều hành,Hỗ trợ sạc tối đa,Hỗ trợ thẻ nhớ ngoài,Jack 3.5mm,Kích thước màn hình,Kích thước sản phẩm,Link,Loại SIM,Loại màn hình,Model,Màu sắc,Mạng 4G,Mạng 5G,Mở khóa nhanh,NFC,Name,Nhà sản xuất,Năm ra mắt ,Price,RAM,Radio,Thiết kế,Thời gian bảo hành,Tiện ích khác ĐTDĐ,Tần số quét màn hình,USB,WIFI,Xuất xứ,Đèn Flash,Địa điểm bảo hành,Độ phân giải màn hình,CPU,Chống nước,Khối lượng sản phẩm (gram),Loại pin,Phụ kiện trong hộp,Sạc kèm theo máy (W),Số khe SIM,Video,Độ sáng tối đa,Jack tai nghe,Khối lượng sản phẩm (kg),Loa ngoài,Mạng 3G,Màn hình tràn viền
v5.3,128GB,50MP + 2MP,8MP,MediaTek Helio G85,Khung hợp kim & Mặt lưng thuỷ tinh hữu cơ,Có,5000mAh,"GLONASS, GPS, GALILEO, QZSS, BEIDOU","Ghi âm mặc định, Ghi âm cuộc gọi",ColorOS 13.1 Android 13,SUPERVOOC 33W,Hỗ trợ thẻ nhớ tối đa 1TB,,"6.72 """,165.65 x 75.98 x 7.99 mm,https://www.nguyenkim.com/dien-thoai-oppo-a58-6gb-128gb-xanh.html,2 nano-SIM + 1 thẻ nhớ,LCD,A58,Xanh,Hỗ trợ,,Cảm biến vân tay (cạnh viền),,Điện thoại OPPO A58 6GB/128GB Xanh,OPPO,2023,4.990.000,6GB,Có,Nguyên khối,12 Tháng,"Cử chỉ thông minh, Ứng dụng kép (Nhân bản ứng dụng), Loa kép, Mở rộng bộ nhớ RAM",60 Hz,,"2.4G/5G, 802.11 a/b/g/n/ac",Trung Quốc,Có,Nguyễn Kim,1080 x 2400 pixels,,IP54,192g,,,,,FullHD 1080p@30fpsHD 720p@30fps,,3.5 mm,,,,
v5.3,128GB,"50MP, 2MP",8MP,MediaTek Helio G85,Khung hợp kim & Mặt lưng thuỷ tinh hữu cơ,Có,5000mAh,"GLONASS, GPS, GALILEO, QZSS, BEIDOU","Ghi âm mặc định, Ghi âm cuộc gọi",ColorOS 13.1 Android 13,SUPERVOOC 33W,Hỗ trợ thẻ nhớ tối đa 1TB,,"6.72 """,165.65 x 75.98 x 7.99 mm,https://www.nguyenkim.com/dien-thoai-oppo-a58-6gb-128gb-den.html,2 nano-SIM + 1 thẻ nhớ,LCD,A58,Đen,Hỗ trợ,,Cảm biến vân tay (cạnh viền),,Điện thoại OPPO A58 6GB/128GB Đen,OPPO,2023,4.990.000,6GB,Có,Nguyên khối,12 Tháng,"Cử chỉ thông minh, Ứng dụng kép (Nhân bản ứng dụng), Loa kép, Mở rộng bộ nhớ RAM",60 Hz,,"2.4G/5G, 802.11 a/b/g/n/ac",Trung Quốc,Có,Nguyễn Kim,1080 x 2400 pixels,,IP54,192g,,,,,FullHD 1080p@30fpsHD 720p@30fps,,3.5 mm,,,,
"5.0, A2DP, LE",256 GB,"50MP, 2MP",8MP,Snapdragon 680 4G (6 nm),Khung hợp kim & Mặt lưng thuỷ tinh hữu cơ,Có,5000 mAh,"GPS, GALILEO, GLONASS, BDS","Ghi âm mặc định, Ghi âm cuộc gọi",ColorOS 13.1 Android 13,SuperVOOC 67W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.43 """,160 x 73.2 x 7.9 mm,https://www.nguyenkim.com/dien-thoai-oppo-a78-8gb-256gb-xanh.html,2 Nano SIM + MicroSD,AMOLED,A78 (CPH2565),Xanh,Có,,"Mở khoá khuôn mặt, Mở khoá vân tay dưới màn hình",,Điện thoại OPPO A78 8GB/256GB Xanh,OPPO,2023,6.990.000,8 GB,Có,Nguyên khối,12 Tháng,"Cử chỉ thông minh, Ứng dụng kép (Nhân bản ứng dụng), Mở rộng bộ nhớ RAM",90 Hz,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Trung Quốc,Có,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),IP54,180 gram,,,,,1080p@30fps,,3.5 mm,,,,
,128 GB,48MP F1.8 OIS (Rộng); 8MP F2.2 (Siêu Rộng); 5MP F2.4 (Cận cảnh),13MP (F2.2),Dimensity 1080 – 5nm,Mặt lưng tráng gương mờ,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.6 """,161.3 x 78.1 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a34-5g-8gb-128gb-den.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A34 5G (SM-A346E/DS),Đen,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Đen,Samsung,2023,6.650.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,Octa Core 2 x 2.6GHz + 6 x 2.0GHz,IP67,,,,,,,,,0.199 kg,Loa kép âm thanh vòm Dolby Atmos,,
v5.0,64 GB,12MP-12MP,12MP,Apple A14 Bionic,Khung nhôm & Mặt lưng kính cường lực,,2815 mAh,"GPS, GLONASS, Galileo, QZSS, BeiDou",Ghi âm có microphone chuyên dụng chống ồn,iOS 14.1,20 W,,,"6.1 """,146.7 x 71.5 x 7.4 mm,https://www.nguyenkim.com/dien-thoai-iphone-12-64gb-xanh-la.html,1 Nano SIM & 1 eSIM,OLED,iPhone 12 64GB,Xanh Lá,,Có,Mở khoá khuôn mặt Face ID,,Điện thoại iPhone 12 64GB Xanh lá,iPhone,10/2020,12.490.000,4 GB,,Nguyên khối,12 Tháng,,60 Hz,Lightning,Wi-Fi 6 (802.11ax),Trung Quốc,Có,Nguyễn Kim,1170 x 2532 pixels,,IP68,,,,,,4K,,Lightning,,,,
"5.0, A2DP, LE",256 GB,"50MP, 2MP",8MP,Snapdragon 680 4G (6 nm),Khung hợp kim & Mặt lưng thuỷ tinh hữu cơ,Có,5000 mAh,"GPS, GALILEO, GLONASS, BDS","Ghi âm mặc định, Ghi âm cuộc gọi",ColorOS 13.1 Android 13,SuperVOOC 67W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.43 """,160 x 73.2 x 7.9 mm,https://www.nguyenkim.com/dien-thoai-oppo-a78-8gb-256gb-den.html,2 Nano SIM + MicroSD,AMOLED,A78 (CPH2565),Đen,Có,,"Mở khoá khuôn mặt, Mở khoá vân tay dưới màn hình",,Điện thoại OPPO A78 8GB/256GB Đen,OPPO,2023,6.990.000,8 GB,Có,Nguyên khối,12 Tháng,"Cử chỉ thông minh, Ứng dụng kép (Nhân bản ứng dụng), Mở rộng bộ nhớ RAM",90 Hz,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Trung Quốc,Có,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),IP54,180 gram,,,,,1080p@30fps,,3.5 mm,,,,
,128 GB,48MP F1.8 OIS (Rộng); 8MP F2.2 (Siêu Rộng); 5MP F2.4 (Cận cảnh),13MP (F2.2),Dimensity 1080 – 5nm,Mặt lưng tráng gương mờ,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.6 """,161.3 x 78.1 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a34-5g-8gb-128gb-bac.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A34 5G (SM-A346E/DS),Bạc,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Bạc,Samsung,2023,6.650.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,Octa Core 2 x 2.6GHz + 6 x 2.0GHz,IP67,,,,,,,,,0.199 kg,Loa kép âm thanh vòm Dolby Atmos,,
Bluetooth 5.3,128GB,"50MP, 2MP",,Helio G85 (12nm),,,5000mAh,"GPS, GLONASS, GALILEO, BDS",,Android 13,Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.7 """,168.8 x 78.2 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a05-4gb-128gb-xanh.html,2 Nano SIM,PLS LCD,SAMSUNGA05 (SM-A055F/DS),Xanh,Hỗ trợ,Không hỗ trợ,,Không hỗ trợ,Điện thoại Samsung Galaxy A05 4GB/128GB Xanh,Samsung,2023,2.690.000,4GB,Không hỗ trợ,Nguyên khối,12 Tháng,,60Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,LED Flash,Nguyễn Kim,HD+ (1600 x 720) pixels,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,195 gram,,,Không,,1080p@30/60fps,,Hỗ trợ,,Hỗ trợ,,
,128 GB,48MP F1.8 OIS (Rộng); 8MP F2.2 (Siêu Rộng); 5MP F2.4 (Cận cảnh),13MP (F2.2),Dimensity 1080 – 5nm,Mặt lưng tráng gương mờ,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.6 """,161.3 x 78.1 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a34-5g-8gb-128gb-xanh.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A34 5G (SM-A346E/DS),Xanh,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Xanh,Samsung,2023,6.650.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,Octa Core 2 x 2.6GHz + 6 x 2.0GHz,IP67,,,,,,,,,0.199 kg,Loa kép âm thanh vòm Dolby Atmos,,
,128 GB,50 MP F1.8 OIS (Rộng); 12 MP F2.2 (Siêu Rộng); 5 MP F2.4 (Cận cảnh),32MP F2.2,Exynos 1380 8 nhân,Mặt lưng kính,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.4 """,158.2 x 76.7 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a54-5g-8gb-128gb-xanh.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A54 5G (SM-A546E/DS),Xanh,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A54 5G 8GB/128GB Xanh,Samsung,2023,8.490.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,,IP67,,,,,,,,,0.202 kg,Loa kép âm thanh vòm Dolby Atmos,,
Bluetooth 5.1,128GB,"50MP, 2MP, 2MP",13MP,Snapdragon 680 (6nm),,,5000mAh,"GPS, GLONASS, GALILEO, BDS, QZSS",,Android 13,Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.7 """,168 x 77.8 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a05s-4gb-128gb-bac.html,2 Nano SIM,PLS LCD,SAMSUNGA05S (SM-A057F/DS),Bạc,Hỗ trợ,Không hỗ trợ,Bảo mật vân tay cạnh bên,Không hỗ trợ,Điện thoại Samsung Galaxy A05s 4GB/128GB Bạc,Samsung,2023,3.590.000,4GB,Không hỗ trợ,Nguyên khối,12 Tháng,,90Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,LED Flash,Nguyễn Kim,Full HD+ (2400 x 1080) pixels,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,194 gram,,,Không,,1080p@30/60fps,,Hỗ trợ,,Hỗ trợ,,
,128 GB,50 MP F1.8 OIS (Rộng); 12 MP F2.2 (Siêu Rộng); 5 MP F2.4 (Cận cảnh),32MP F2.2,Exynos 1380 8 nhân,Mặt lưng kính,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.4 """,158.2 x 76.7 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a54-5g-8gb-128gb-tim.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A54 5G (SM-A546E/DS),Tím,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A54 5G 8GB/128GB Tím,Samsung,2023,8.490.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,,IP67,,,,,,,,,0.202 kg,Loa kép âm thanh vòm Dolby Atmos,,
